Validate -- 纹理检测
illegal texture filename,Assets/ThirdParty/TextMesh Pro/Examples & Extras/Textures/Wipe Pattern - Circle.psd
illegal texture filename,Assets/ThirdParty/TextMesh Pro/Examples & Extras/Textures/Small Crate_diffuse.jpg
illegal texture filename,Assets/ThirdParty/TextMesh Pro/Examples & Extras/Sprites/Default Sprites.png
illegal texture filename,Assets/ThirdParty/TextMesh Pro/Examples & Extras/Resources/Fonts & Materials/Oswald Bold SDF.asset
illegal texture filename,Assets/ThirdParty/TextMesh Pro/Examples & Extras/Resources/Fonts & Materials/Bangers SDF.asset
illegal texture filename,Assets/ThirdParty/TextMesh Pro/Examples & Extras/Textures/Gradient Vertical (Color).jpg
illegal texture filename,Assets/ThirdParty/TextMesh Pro/Examples & Extras/Resources/Fonts & Materials/Roboto-Bold SDF.asset
illegal texture filename,Assets/ThirdParty/TextMesh Pro/Fonts/LiberationSans.ttf
illegal texture filename,Assets/ThirdParty/TextMesh Pro/Examples & Extras/Textures/Floor Tiles 1 - diffuse.jpg
illegal texture W/H size,Assets/Launch/Resources/juhua.png,126,117
illegal texture filename,Assets/ThirdParty/TextMesh Pro/Examples & Extras/Textures/Wipe Pattern - Radial Double.psd
illegal texture filename,Assets/ThirdParty/TextMesh Pro/Examples & Extras/Textures/Sunny Days - Seamless.jpg
illegal texture filename,Assets/ThirdParty/TextMesh Pro/Examples & Extras/Textures/Text Overflow - Linked Text UI Screenshot.png
illegal texture W/H size,Assets/ThirdParty/TextMesh Pro/Examples & Extras/Textures/Text Overflow - Linked Text UI Screenshot.png,500,357
illegal texture filename,Assets/ThirdParty/TextMesh Pro/Examples & Extras/Textures/Floor Cement.jpg
illegal texture filename,Assets/ThirdParty/TextMesh Pro/Examples & Extras/Textures/Small Crate_normal.jpg
illegal texture filename,Assets/ThirdParty/TextMesh Pro/Examples & Extras/Textures/Brushed Metal 3.jpg
illegal texture filename,Assets/ThirdParty/TextMesh Pro/Examples & Extras/Fonts/Anton.ttf
illegal texture filename,Assets/ThirdParty/TextMesh Pro/Examples & Extras/Fonts/Oswald-Bold.ttf
illegal texture filename,Assets/ThirdParty/TextMesh Pro/Examples & Extras/Resources/Fonts & Materials/Anton SDF.asset
illegal texture filename,Assets/ThirdParty/TextMesh Pro/Examples & Extras/Fonts/Electronic Highway Sign.TTF
illegal texture filename,Assets/ThirdParty/TextMesh Pro/Examples & Extras/Textures/Wipe Pattern - Radial Quad.psd
illegal texture filename,Assets/ThirdParty/TextMesh Pro/Examples & Extras/Fonts/Roboto-Bold.ttf
illegal texture filename,Assets/ThirdParty/TextMesh Pro/Examples & Extras/Textures/Mask Zig-n-Zag.psd
illegal texture filename,Assets/ThirdParty/TextMesh Pro/Examples & Extras/Textures/Fruit Jelly (B&W).jpg
illegal texture filename,Assets/ThirdParty/TextMesh Pro/Examples & Extras/Textures/Gradient Diagonal (Color).jpg
illegal texture filename,Assets/ThirdParty/TextMesh Pro/Examples & Extras/Textures/Text Overflow - Linked Text Image 1.png
illegal texture filename,Assets/ThirdParty/TextMesh Pro/Examples & Extras/Resources/Fonts & Materials/Electronic Highway Sign SDF.asset
illegal texture filename,Assets/ThirdParty/TextMesh Pro/Examples & Extras/Fonts/Bangers.ttf
illegal texture W/H size,Assets/TechArtist/Plugins/GPUAnimBaker/Editor/Image/GAB_Logo.tga,410,100
illegal texture filename,Assets/ThirdParty/TextMesh Pro/Examples & Extras/Textures/Wipe Pattern - Diagonal.psd
illegal texture filename,Assets/ThirdParty/TextMesh Pro/Examples & Extras/Sprites/DropCap Numbers.psd
illegal texture filename,Assets/ThirdParty/TextMesh Pro/Resources/Fonts & Materials/LiberationSans SDF - Fallback.asset
illegal texture filename,Assets/ThirdParty/TextMesh Pro/Examples & Extras/Textures/Gradient Horizontal (Color).jpg
illegal texture filename,Assets/TechArtist/RawRes/Materials/SkyBox/Mondarrain 3.exr
illegal texture filename,Assets/ThirdParty/TextMesh Pro/Resources/Fonts & Materials/LiberationSans SDF.asset
illegal texture filename,Assets/ThirdParty/TextMesh Pro/Sprites/EmojiOne.png
